"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\app.py", "Python", 14, 3, 4, 21
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\authorization.py", "Python", 48, 13, 17, 78
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\blueprints.py", "Python", 17, 0, 3, 20
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\config.py", "Python", 18, 3, 0, 21
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\admin\create_db_config_data.py", "Python", 83, 15, 22, 120
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\admin\create_ui_config_data.py", "Python", 40, 3, 14, 57
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\admin\databases\mydb.py", "Python", 17, 4, 5, 26
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\admin\list_db_config_data.py", "Python", 50, 4, 14, 68
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\admin\list_ui_config_data.py", "Python", 41, 5, 13, 59
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\admin\routes\admin_routes.py", "Python", 35, 4, 9, 48
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\create_company.py", "Python", 72, 6, 15, 93
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\create_department.py", "Python", 65, 6, 16, 87
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\create_group_company.py", "Python", 60, 6, 15, 81
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\create_legal_entity.py", "Python", 64, 6, 15, 85
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\create_partner_data copy.py", "Python", 88, 6, 15, 109
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\create_partner_data.py", "Python", 88, 6, 15, 109
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\explode_bom.py", "Python", 70, 2, 17, 89
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\get_companies.py", "Python", 82, 0, 21, 103
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\get_company_tax_codes.py", "Python", 88, 0, 17, 105
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\get_departments.py", "Python", 58, 0, 20, 78
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\get_group_companies.py", "Python", 46, 0, 17, 63
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\get_legal_entity.py", "Python", 51, 2, 18, 71
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\get_partner_data.py", "Python", 75, 5, 17, 97
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\list_bom.py", "Python", 91, 7, 21, 119
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\list_currencies.py", "Python", 36, 3, 11, 50
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\list_exchange_rates.py", "Python", 65, 5, 14, 84
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\list_tax_codes.py", "Python", 44, 4, 12, 60
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\process_bom.py", "Python", 160, 16, 54, 230
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\common\routes\common_routes.py", "Python", 124, 4, 26, 154
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\employee\create_employee_data.py", "Python", 75, 6, 18, 99
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\employee\get_designations_data.py", "Python", 38, 4, 11, 53
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\employee\get_employee_data.py", "Python", 65, 6, 13, 84
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\employee\routes\get_employee_routes.py", "Python", 38, 3, 10, 51
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\employee\update_employee_data copy.py", "Python", 64, 7, 18, 89
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\employee\update_employee_data.py", "Python", 64, 7, 18, 89
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\finance\create_account.py", "Python", 73, 7, 16, 96
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\finance\create_journal_header.py", "Python", 79, 8, 18, 105
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\finance\create_journal_lines.py", "Python", 72, 7, 20, 99
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\finance\create_purchase_invoice.py", "Python", 82, 8, 18, 108
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\backend-flask\modules\finance\create_purchase_invoice_lines.py", "Python", 96, 12, 27, 135
